,pubplace,lat,long
555,Zagreb,45.84264135,15.962231476593626
556,s'Gravenhage,52.0799838,4.3113461
562,"Wellington, NZ",-41.2887953,174.7772114
569,Moscow,55.7504461,37.6174943
571,Aachen,50.776351,6.083862
574,Zeist,52.086531750000006,5.249007957671885
579,Český Těšín,49.7464018,18.6260976
582,"Bratislava, Pozsony",48.15926025,17.139658691421687
585,'s-Gravenhage,52.0799838,4.3113461
599,Milano,45.4641943,9.1896346
604,Hilversum,52.2241375,5.1719396
605,Hämeenlinna,60.9948584,24.46654
606,Helsinki,60.1674881,24.9427473
608,Santpoort,52.4332634,4.6401104
628,Ljubljana,46.0500268,14.5069289
638,Mariestad,58.7093225,13.8228754
639,Utrecht,52.080985600000005,5.12768396945229
640,"Baltimore, Md.",39.2908816,-76.610759
642,"Chicago, Ill.",41.8755616,-87.6244212
645,Baarn,52.2002549,5.269143393313942
657,"San Francisco, Calif.",37.7790262,-122.419906
661,NY,13.524834,2.109823
666,Køpenhavn,55.6867243,12.5700724
683,Tilburg,51.58561845,5.066061613136768
692,"Minneapolis, Minn.",44.9772995,-93.2654692
693,Leningrad,59.938732,30.316229
694,Moskva,55.7504461,37.6174943
698,s.l. @,35.57525385,-78.74237343499374
706,Antwerpen,51.2211097,4.3997081
712,København,55.6867243,12.5700724
721,Roma,41.8933203,12.4829321
724,Porvoo,60.3953913,25.6604862
738,Pôrto Alegre,-30.0324999,-51.2303767
740,Santander,43.4620412,-3.8099719
741,Santiago,9.8694792,-83.7980749
743,Santiago de Chile,-33.4377756,-70.6504502
764,"Brooklyn, NY",40.6526006,-73.9497211
782,"Indianapolis, Ind.",39.7683331,-86.1583502
785,"Cincinnati, Ohio",39.1014537,-84.5124602
806,"Ronco, Ascona",46.1433367,8.7263426
812,Los Angeles,34.0536909,-118.242766
814,Berkeley,37.8708393,-122.272863
827,Washington,38.8950368,-77.0365427
831,Princeton N.J.,40.3492744,-74.6592958
832,Rotterdam,51.9244424,4.47775
839,The Hague,52.0799838,4.3113461
875,Verona,45.4384958,10.9924122
876,Anvers,51.2211097,4.3997081
884,"Worcester, Mass.",42.2625621,-71.8018877
916,Bratislava,48.1516988,17.1093063
917,Liège,50.6450944,5.5736112
930,Capetown,40.4662424,-124.367277
957,Neuchatel,46.9895828,6.9292641
960,Warše,20.9145474,73.9829975
965,Bussum,52.2773656,5.1630646
981,Nijmegen,51.842574850000005,5.838960628748229
1005,"New Haven, Conn.",41.3082138,-72.9250518
1007,Lons-le-Saunier,46.6727037,5.5589973
1010,"Poughkeepsie, NY",41.7065539,-73.9283672
1025,Agen,44.2015827,0.6176112
1041,Panama,8.9714493,-79.5341802
1048,Moscou,55.7504461,37.6174943
1052,"Cambridge, Mass",42.3750997,-71.1056157
1056,Kanda,33.7757075,130.9805568
1090,Bad Neuenahr,50.5448624,7.1377303
1091,Crimmitschau,50.8162378,12.3867217
1100,S. Paulo,-23.5506507,-46.6333824
1116,Zollikon,47.3379535,8.5755735
1131,Cleveland,41.4996574,-81.6936772
1152,"Los Angeles, Calif.",34.0536909,-118.242766
1164,Aberdeen,57.1482429,-2.0928095
1178,Città del Vaticano,41.9034912,12.4528349
1185,Bad Mergentheim,49.490532,9.7730692
1195,"Princeton, NJ",40.3492744,-74.6592958
1258,León,42.5989995,-5.5682413
1262,Mexico,19.4326296,-99.1331785
1269,"Ann Arbor, Mich.",42.2681569,-83.7312291
1271,La Plata,-34.9206797,-57.9537638
1299,Münster,48.9154719,6.9037077
1300,Tübingen,48.5236164,9.0535531
1326,Cardiff,51.4816546,-3.1791934
1331,"Bethlehem, PA",-1.45056,-48.4682453
1342,"Racine, Wis.",42.7260523,-87.7825242
1352,Kobenhavn,55.6867243,12.5700724
1385,Badalona,41.4493539,2.248254
1392,Helsingfors,60.1674881,24.9427473
1396,Olomouc,49.5940567,17.251143
1399,"Menasha, Wis.",44.2022293,-88.4465361
1404,"Oakland, Calif.",37.8044557,-122.271356
1405,"Portland, Me.",43.6610277,-70.2548596
1435,"Columbus, Ohio",39.9622601,-83.0007065
1436,Putten,52.24773005,5.57827393798401
1448,"Pasadena, Calif.",34.1476452,-118.1444779
1456,Lund,55.7029296,13.1929449
1457,Arnhem,51.984257,5.9108573
1463,"Hanover, NH",43.703622,-72.288666
1473,Hradec Králové,50.2092113,15.8327512
1474,Poughkeepsie,41.7065539,-73.9283672
1476,Grenoble,45.1875602,5.7357819
1490,"Detroit, Mich.",42.3315509,-83.0466403
1525,Mount Vernon,38.3172715,-88.9031201
1526,Halle,51.4825041,11.9705452
1576,Tēl-Āvîv,32.0852997,34.7818064
1581,"Cambridge, Mass.",42.3750997,-71.1056157
1588,"Stamford, Conn.",41.0534302,-73.5387341
1596,"Notre Dame, Ind.",41.6992003,-86.2373691
1598,Zwolle,52.5089759,6.0943765
1611,Kadıköy,40.990992,29.0254305
1624,"Madison, Wis.",43.074761,-89.3837613
1630,"Garden City, NY",40.7266477,-73.6343052
1643,"Swarthmore, Pa.",39.9020565,-75.3499124
1680,"Nashville, Tenn.",36.1622767,-86.7742984
1734,Stroud,51.745424,-2.2198605
1744,Geneva,46.2017559,6.1466014
1749,Welwyn Garden City,51.8031083,-0.2068872
1751,México,19.4326296,-99.1331785
1757,La @Plata,-34.9206797,-57.9537638
1758,Montréal,45.5031824,-73.5698065
1759,Torino,45.0677551,7.6824892
1761,"Evanston, Ill.",42.0447388,-87.6930459
1778,Londra,51.5073359,-0.12765
1810,Uppsala,59.8586126,17.6387436
1816,Baltimore,39.2908816,-76.610759
1854,Cape Town,-33.928992,18.417396
1884,Leiden,52.1594747,4.4908843
1896,"Colorado Springs, Colo.",38.8339578,-104.825348
1900,"Cleveland, Ohio",41.4996574,-81.6936772
1916,"State College, Pa.",40.7944504,-77.8616386
1927,"Kansas City, Kan.",39.1134562,-94.626497
1929,Ottawa,45.4208777,-75.6901106
1945,Londen,51.5073359,-0.12765
1955,Upsala,59.8586126,17.6387436
1959,Dublin,53.3498006,-6.2602964
1976,Trichy,10.804973,78.6870296
1985,Detroit,42.3315509,-83.0466403
1987,"Lincoln, Neb.",40.8088861,-96.7077751
2010,Albuquerque,35.0841034,-106.650985
2028,"Mexico, D.F.",19.2801144,-99.1568103
2045,Quito,-0.2201641,-78.5123274
2058,Durham,35.996653,-78.9018053
2063,"Norwich, Vt.",43.7136654,-72.3081535
2075,"Rahway, NJ",40.6081591,-74.2776468
2095,Norrköping,58.5909124,16.1903511
2141,"Kansas City, Kan",39.1134562,-94.626497
2153,Norfolk,36.8448348,-76.2863999
2155,Lyon,45.7578137,4.8320114
2166,São Paulo,-23.5506507,-46.6333824
2168,Recife,-8.0584933,-34.8848193
2169,Porto Alegre,-30.0324999,-51.2303767
2170,"Eau Claire, Wis.",44.811349,-91.4984941
2185,"Baton Rouge, La.",30.4507936,-91.1391153
2224,"Cary, N.C.",35.7882893,-78.7812081
2226,Haifa,32.8191218,34.9983856
2235,Southampton,50.9025349,-1.404189
2237,Bucureşti,44.4361414,26.1027202
2250,Caracas,10.5060934,-66.9146008
2255,Princeton,40.3492744,-74.6592958
2291,Malmö,55.6052931,13.0001566
2333,Leeds,53.7974185,-1.5437941
2343,Afula,32.6075587,35.2890861
2348,"Middletown, Conn.",41.5623178,-72.6509061
2379,Mexiko,19.4326296,-99.1331785
2384,New Haven,41.3082138,-72.9250518
2397,"Winchester, Mass.",42.4523178,-71.1369982
2415,Lima,-12.0621065,-77.0365256
2471,Langemark,50.9135381,2.9183672
2472,Shanghai,31.2322758,121.4692071
2487,"Bethesda, Md.",38.9847457,-77.0944673
2513,Pretoria,-25.7459277,28.1879101
2539,Stanford,37.427467,-122.1702445
2544,Nueva York,40.7127281,-74.0060152
2547,Perth,-31.9558964,115.8605801
2548,Lisboa,38.7077507,-9.1365919
2557,"Enfield, Middlesex",18.1955976,-77.0030022
2566,"Middlesex, N.J.",40.5734911,-74.494037
2572,"Bloomington, Ind.",39.1670396,-86.5342881
2604,Haarlem,52.38370575,4.643559696559635
2608,Redhill,51.2404691,-0.1682816
2652,Louvain,50.879202,4.7011675
2656,Harwell,51.5999743,-1.2909164
2658,"Westminster, Md.",39.5750675,-76.9925562
2718,"Lake Success, N.Y.",40.7706572,-73.7176312
2721,St. Louis,38.6280278,-90.1910154
2742,"Aurora, NY",42.7324505,-78.6315537
2786,Evanston,42.0447388,-87.6930459
2798,"Kenosha, Wisc.",42.5846773,-87.8212263
2826,"Utica, NY",43.1009031,-75.2326641
2839,"New York, NY.",40.7127281,-74.0060152
2877,"Iowa City, Iowa",41.6612561,-91.5299106
2878,Gerusalemme,31.7788242,35.2257626
2894,"Rockville, Md.",39.0817985,-77.1516844
2940,St. Gallen,47.4250593,9.3765878
2945,Casablanca,33.5950627,-7.6187768
2959,Kjøbenhavn,63.5843917,10.7860645
2972,"Princeton, New Jersey",40.3492744,-74.6592958
2982,Jérusalem,31.7788242,35.2257626
3000,Montreal,45.5031824,-73.5698065
3004,"Providence, RI",41.8239891,-71.4128343
3017,"Richmond, Va.",37.5385087,-77.43428
3025,Winnipeg,49.8955367,-97.1384584
3046,Södertälje,59.1964289,17.6271663
3053,"St. Paul, Minn.",44.9497487,-93.0931028
3060,'s-Graveland,52.238404,5.1214997
3094,Curitiba,-25.4295963,-49.2712724
3110,Tēl-Ābīb,32.0852997,34.7818064
3117,Bucureṣti,44.4361414,26.1027202
3120,"Kingsport, Tenn.",36.550238,-82.5594293
3134,"Chapel Hill, NC",35.9131542,-79.05578
3145,"Kenosha, Wis.",42.5846773,-87.8212263
3174,Bahia,-21.3770591,-44.4949186
3175,Pará,-33.7069186,142.1608593
3194,Brescia,45.5398022,10.2200214
3205,Genève,46.2017559,6.1466014
3226,Chapel Hill,35.9131542,-79.05578
3260,Pleasantville,41.3867741,-93.2694768
3287,Montevideo,-34.9058916,-56.1913095
3332,Göteborg,57.7072326,11.9670171
3334,Voorhout,52.2244226,4.4886562
3341,"Buffalo, NY",42.8867166,-78.8783922
3361,"Atlanta, Ga.",33.7489924,-84.3902644
3363,"Dallas, Tex.",32.7762719,-96.7968559
3370,Groningen,53.2190652,6.5680077
3371,Batavia,-6.1753942,106.827183
3374,Bloemendaal,52.3742917,4.591534676879699
3407,"East Lansing, Mich.",42.7320307,-84.4721678
3408,Londres,51.5073359,-0.12765
3410,Canberra,-35.2975906,149.1012676
3432,Rom,41.8933203,12.4829321
3433,"St. Louis, Mo.",38.6280278,-90.1910154
3471,"Washington, D.C.",38.8950368,-77.0365427
3490,"Northampton, Mass.",42.3178989,-72.6311006
3576,"Glencoe, Ill.",42.1350268,-87.7581188
3587,Cork,51.897077,-8.4654674
3600,"Grinnell, Iowa",41.7430237,-92.7239637
3605,"Saint Louis, Mo.",38.6280278,-90.1910154
3606,Urbana,40.1117174,-88.207301
3625,"Amagansett, NY",40.9736557,-72.1437716
3646,Le Caire,30.0443879,31.2357257
3648,Saint-Alphonse-de-Granby,45.325599,-72.8088
3649,"Stanford, Calif.",37.427467,-122.1702445
3650,"Emmaus, Pa.",40.5395421,-75.4968502
3693,Cadole,53.1554156,-3.1905026
3707,Gorinchem,51.8421872,4.974600467260094
3720,Brussels,50.8465573,4.351697
3731,Bonn,50.735851,7.10066
3758,"Pittsburgh, Pa.",40.4416941,-79.9900861
3782,"Springfield, Ill.",39.7990175,-89.6439575
3783,"Ames, Iowa",42.0267567,-93.6170448
3801,Tehran,35.6892523,51.3896004
3812,Texas,-28.853678,151.18683034016186
3853,Indianapolis,39.7683331,-86.1583502
3908,Lwów,49.841952,24.0315921
3916,Mexico D. F.,19.4326296,-99.1331785
3948,Breslau,51.1089776,17.0326689
3955,New York NY,25.21410395,55.15085102248102
3962,Mährisch-Ostrau,49.8343765,18.2820797
3983,"Sydney, NSW",-33.8698439,151.2082848
4000,Belgrade,44.8178131,20.4568974
4014,Mukačevo,48.4421438,22.7185112
4018,Kraków,50.0619474,19.9368564
4019,Warszawa,52.2319581,21.0067249
4062,Brünn,53.6711367,13.3706436
4070,S. l. @,35.57525385,-78.74237343499374
4088,Frome,51.2294852,-2.319846671158359
4137,'s-Hertogenbosch,51.6889387,5.303116
4141,"Lancaster, Pa.",40.03813,-76.3056686
4185,"Princeton, N.J.",40.3492744,-74.6592958
4219,Tetschen,50.7824196,14.2147221
4255,Romae,41.4205988,-8.6074099
4291,Parma,44.8013678,10.3280833
4297,s.l @,35.57525385,-78.74237343499374
4301,S.l @,35.57525385,-78.74237343499374
4337,Ostrava,49.8349139,18.2820084
4389,Istanbul,41.0091982,28.9662187
4442,Valencia,39.4697065,-0.3763353
4487,Bologna,44.4938203,11.3426327
4498,Kiel,54.3227085,10.135555
4601,Strassburg,48.584614,7.7507127
4666,Vastervik,57.799722,16.383056
4674,"Newark, NY",43.0467301,-77.0952516
4706,Torquay,50.4652392,-3.5211361
4715,Wassenaar,52.14361135,4.370966818678455
4745,Harlem,40.8078786,-73.9454154
4746,La Haya,52.0799838,4.3113461
4750,"Madison, WI",43.074761,-89.3837613
4784,"Ithaca, NY",42.4396039,-76.4968019
4790,Annemasse,46.1934005,6.2341093
4835,Toulouse,43.6044622,1.4442469
4857,Einsiedeln,47.1286095,8.7500299
4910,Freiburg i. Br.,47.9960901,7.8494005
4957,Edinburg,55.9533456,-3.1883749
4974,Osorno,42.4106725,-4.3609815
4977,Nybro,56.7444911,15.9075145
4991,Milwaukee,43.0349931,-87.922497
5039,Prahran,-37.8519135,145.0005993
5046,Deventer,52.2695736,6.236339604766698
5058,"Hollywood, Calif.",34.0980031,-118.329523
5059,La Habana,23.135305,-82.3589631
5148,Gleiwitz,50.294113,18.6657306
5160,Valparaiso,41.4730948,-87.0611412
5193,Cairo,30.0443879,31.2357257
5220,"Greensboro, NC",36.0726355,-79.7919754
5224,"Langhorne, Pa.",40.1745538,-74.9226665
5230,Wellington,-41.2887953,174.7772114
5243,"Palo Alto, Calif.",37.4443293,-122.1598465
5280,"Harrisburg, Pa.",40.2663107,-76.8861122
5348,Ciudad de México,19.4326296,-99.1331785
5395,"Bloomington, Ill.",40.4797828,-88.9939147
5408,Bogota,4.6534649,-74.0836453
5535,Valdivia,-39.8141262,-73.2459859
5536,"Troy, NY",42.7284117,-73.6917878
5558,Rijswijk,52.0446265,4.3188215
5591,"Andover, Mass.",42.65717,-71.1408776
5618,"Menasha, Wis., USA",44.2022293,-88.4465361
5841,"Lucero, México",35.3911548,-105.4616787
5858,Schweden,54.6794851,9.6779369
5859,"Garden City, N.Y.",40.7266477,-73.6343052
5916,Durban,-29.861825,31.009909
5922,Brisbane,-27.4689682,153.0234991
5928,Auckland,-36.852095,174.7631803
5933,"Toronto, Ont.",43.6534817,-79.3839347
5936,"Rehovot, Israel",31.8952532,34.8105616
5945,Marseille,43.2961743,5.3699525
6054,"Crompond, NY",41.295265,-73.839963
6091,Ann Arbor,42.2681569,-83.7312291
6120,"Hinsdale, Ill.",41.8024604,-87.9299841
6192,Fribourg,48.7663036,6.8586785
6212,"Olney, Md.",39.1532123,-77.0668408
6282,"Oberlin, Ohio",41.2939386,-82.2173786
6313,"Boulder, Colo.",40.0149856,-105.270545
6331,"Allentown, Pa.",40.6022059,-75.4712794
6340,Nairobi,-1.2832533,36.8172449
6364,"Roslyn, NY",40.7998227,-73.6509621
6365,"Lake Success, NY",40.7706572,-73.7176312
6368,Baton Rouge,30.4507936,-91.1391153
6377,Assen,52.9952273,6.560498
6471,"Norfolk, Conn.",41.9939828,-73.2020577
6478,Kolín,50.0288894,15.2011571
6495,"New York, N. Y.",40.7127281,-74.0060152
6609,"Beverly Hills, Calif.",34.0696501,-118.3963062
6616,New York City,40.7127281,-74.0060152
6620,"Woodstock, Vt.",43.6247646,-72.5189791
6665,Frauenfeld,47.5561915,8.8963347
6668,Elgg,47.4902329,8.8669115
6687,Düsseldorf,51.2254018,6.7763137
6720,Goldern-Hasliberg,46.7393088,8.1981956
6722,Greenford,51.5279378,-0.3527601
6734,Lourdes,43.0940904,-0.0464975
6815,Berkley,41.9441774,-94.1137041
6822,Baroda,22.2973142,73.1942567
6839,"Cleveland, OH",41.4996574,-81.6936772
6917,Bukarest,44.4361414,26.1027202
6971,S.l.,35.57525385,-78.74237343499374
7009,Bruges,44.8842379,-0.6111474
7011,St. Alban,43.6923207,1.4135768
7017,Merḥavyah,32.6051468,35.3076714
7021,Copenhagen,55.6867243,12.5700724
7028,"Notre Dame, Indiana",41.6992003,-86.2373691
7032,Rijeka,45.3267976,14.442208
7058,Lodon,23.7716093,76.3530815
7081,Trondheim,63.4304475,10.3952118
7101,Frankfurt a. Main,50.1106444,8.6820917
7102,Haag,52.0799838,4.3113461
7103,Padova,45.4077172,11.8734455
7136,Guatemala City,14.6222328,-90.5185188
7180,Guatemala,14.6222328,-90.5185188
7265,York,53.9590555,-1.0815361
7299,Wormerveer,52.4952218,4.7876566
7300,Lucca,43.8428381,10.502876
7312,"Federalsburg, Md.",38.6940347,-75.7731132
7397,Neuchâtel,46.9895828,6.9292641
7417,"Philadelphia, Penna.",39.9527237,-75.1635262
7450,Habana,23.135305,-82.3589631
7453,Carlton,46.6638322,-92.4249135
7488,Taibei Shi,25.0375198,121.5636796
7489,Ramat Efal,32.04736075,34.83489825627069
7490,Rīgā,56.9493977,24.1051846
7491,Schwäbisch Gmünd,48.7999036,9.7977584
7493,Hangzhou,30.2489634,120.2052342
7495,Darmstadt,49.8851869,8.6736295
7534,Heidelberg,49.4093582,8.694724
7542,"Somerville, NJ",40.5742696,-74.60988
7543,Esch-sur-Alzette,49.4959628,5.9850306
7548,Tōkyō,35.6812665,139.757653
7550,Ramat Gan,32.0686867,34.8246812
7593,Biel,47.1402077,7.2439029
7684,Mailand,45.4641943,9.1896346
7905,Minneapolis,44.9772995,-93.2654692
7909,Skive,56.6459244,8.932732160154906
7917,Garden City,37.9716898,-100.8726618
7979,Vienna,48.2083537,16.3725042
8066,Sthlm Stockholm,59.3251172,18.0710935
8096,Schaffhausen,47.6960491,8.634513
8097,Aarau,47.3927146,8.0444448
8102,Cernăuti,48.2864702,25.9376532
8170,"Richmond, VA",37.5385087,-77.43428
8194,M. Ostrau,49.80463090000001,18.23427781232195
8220,Bergen,60.3943055,5.3259192
8236,Weimar,50.9810486,11.3296637
8258,Frankfurt,50.1106444,8.6820917
8330,Kiew,50.4500336,30.5241361
8331,Charkow,49.9923181,36.2310146
8343,Cassarate,46.0072649,8.9703982
8373,"Mount Vernon, NY",40.9125085,-73.8386504
8396,Karlsbad,50.2306216,12.8701437
8403,Saarbrücken,49.234362,6.996379
8449,Luxemburg,49.6112768,6.129799
8452,Potsdam,52.4009309,13.0591397
8465,Oldenburg,53.1389753,8.2146017
8478,Frankfurt a. M.,50.1106444,8.6820917
8485,Jena,50.9281717,11.5879359
8511,"Berne, USA",40.6578242,-84.9519115
8512,San Clemente,39.4037093,-2.4274052
8517,Berne,46.9482713,7.4514512
8519,Hong Kong,22.2793278,114.1628131
8522,"Berne, In",40.6578242,-84.9519115
8525,San Diego,32.7174202,-117.1627728
8534,"Owings Mills, Maryland",39.4105423,-76.7916963
8556,Freiburg,47.9960901,7.8494005
8589,Seattle,47.6038321,-122.330062
8624,Chascomus,-35.5786869,-58.0138252
8630,Merḥāvyā,32.6051468,35.3076714
8634,Rangeley,44.966741,-70.643463
8644,Pôrto,41.1494512,-8.6107884
8646,Poona,18.521428,73.8544541
8652,'s-Gravenhage Den Haag,52.0799838,4.3113461
8654,"York, Penn.",39.9624624,-76.727707
8740,East Lansing,42.7320307,-84.4721678
8794,"Aldington, Kent",51.0827203,0.9583617311383368
8845,Nürnberg,49.453872,11.077298
8854,"Emmaus, Pennsylvania",40.5395421,-75.4968502
8867,"Chicago, Illinois",41.8755616,-87.6244212
8886,"Garden City, New York",40.7266477,-73.6343052
8904,"Beverly Hills, California",34.0696501,-118.3963062
8928,"Ewell, England",51.3502402,-0.2511759
8990,ʿÊn-Ḥarôd,32.5623291,35.3931287
8992,Worcester,42.2625621,-71.8018877
8995,"Ann Arbor, Michigan",42.2681569,-83.7312291
9021,Luzac,45.7960725,-1.0552513
9029,"Madison, Wisconsin",43.074761,-89.3837613
9031,Saint Louis,48.7160783,7.1884164
9038,"Bloomington, Indiana",39.1670396,-86.5342881
9050,ʿÊn-Ḥārôd,32.5623291,35.3931287
9051,ʿEn-Ḥārôd,32.5623291,35.3931287
9076,Merhāvyā,32.6051468,35.3076714
9079,Merḥavyā,32.6051468,35.3076714
9145,Sidney,-33.8698439,151.2082848
9154,Djakarta,-6.1753942,106.827183
9179,Szeged,46.2546312,20.1486016
9187,"Rochester, N. Y.",43.157285,-77.615214
9220,Aalborg,57.0462626,9.9215263
9351,Naarden,52.2957628,5.1633636
9378,"Syracuse, NY",43.0481221,-76.1474244
9472,"Albany, NY",42.6511674,-73.754968
9526,"Carlton, Victoria",-37.8004228,144.9684343
9569,Aarhus,56.1496278,10.2134046
9589,"Englewood, N. J.",40.8928771,-73.9726381
9590,"Claremont, Calif.",34.0966764,-117.7197785
9592,"Regina, Sask., Canada",50.44876,-104.61731
9627,"Ithaca, New York",42.4396039,-76.4968019
9696,ʿÊn-Ḥărôd,32.5623291,35.3931287
9759,Tēl- Āvîv,32.0852997,34.7818064
9776,"Boulder, Colorado",40.0149856,-105.270545
9803,Brussel,50.8465573,4.351697
9844,Herzlia,32.1656255,34.8469023
9865,Ascona,46.1554222,8.7707865
9895,Amstedam,52.3730796,4.8924534
9942,"Cambridge, Massachusetts",42.3750997,-71.1056157
9969,Poznan,52.4006632,16.91973259178088
10001,Delft,51.9994572,4.362724538543995
10032,Cochabamba,-17.401245799999998,-66.16756808852
10051,"Los Angeles, California",34.0536909,-118.242766
10068,Trichinopoly,10.804973,78.6870296
10094,West Drayton,51.503513,-0.4662704
10110,Ithaca,42.4396039,-76.4968019
10126,"Albuquerque, New Mexico",35.0841034,-106.650985
10172,Bielefeld,52.0191005,8.531007
10223,Monaco,43.7311424,7.4197576
10257,"Hackensack, N.J.",40.8871438,-74.0410865
10270,"Wallingford, Pennsylvania",39.8909454,-75.3629687
10272,Mount Carmel,38.4108801,-87.7614174
10295,Liverpool,53.4071991,-2.99168
10310,Sao Paulo,-23.5506507,-46.6333824
10315,"Aurora, New York",42.7324505,-78.6315537
10324,Bruxelles Brüssel,50.8465573,4.351697
10336,Ägypten,52.3632337,7.6332865
10413,"Berkeley, Calif",37.8708393,-122.272863
10414,"Los Angeles, Calif",34.0536909,-118.242766
10427,Herzliya,32.1656255,34.8469023
10448,"York, Pennsylvania",39.9624624,-76.727707
10539,Hoorn,52.62254545,5.067726588147824
10561,"Princeton, N. J.",40.3492744,-74.6592958
10586,Saint Paul,44.9497487,-93.0931028
10589,Linz,48.3059078,14.286198
10590,Pittsburgh,40.4416941,-79.9900861
10618,Baden,47.6199988,-2.9184744
10669,Heerlen,50.8775239,5.981506585454879
10672,"Washington, D. C.",38.8950368,-77.0365427
10696,"Oak Ridge, Tenn.",36.0103562,-84.2696449
10745,Indore,22.7203616,75.8681996
10776,"Irvington-on-Hudson, New York",41.0398662,-73.872717
10779,"Bussum, Holland",52.2773656,5.1630646
10817,Adelaide,-34.9281805,138.5999312
10822,Reykjavík,64.145981,-21.9422367
10828,Zürich,47.3744489,8.5410422
11001,Eastbourne,50.7664372,0.2781546
11041,"Miami, Florida",25.7741728,-80.19362
11059,Maastricht,50.85798545,5.6969881818221095
11064,Sáo Paulo,-23.5506507,-46.6333824
11072,Lochem,52.17151315,6.343658160434859
11100,Örebro,59.2747287,15.2151181
11126,"Lewes, Sussex",50.8746139,0.0051153241109362
11159,Merḥavya,32.6051468,35.3076714
11184,Givʿat-Ḥayyîm,32.3918515,34.931902
11254,NJ,36.1743905,52.0029835
