idn,Haupttitel,Verlagsname,Erscheinungsort,author.name,author.vorname,sprache.text,sprache.original,lat,long
100742074X,What will planning mean in terms of money?,The @Architectural Press,Cheam,Schumacher,Ernst Friedrich,eng,NA,51.3576155,-0.2162414
1008053635,Chopin,Kruseman,'s-Gravenhage,Hutschenruyter,Wouter,dut,NA,52.0799838,4.3113461
100805416X,Hydrology,McGraw-Hill,"New York, NY",NA,NA,eng,NA,25.214103950000002,55.15085102248102
100805416X,Hydrology,McGraw-Hill,London,NA,NA,eng,NA,51.5073219,-0.1276474
1008054232,Science and scientists in the Netherlands Indies,Stechert {[u.a.],"New York, NY",NA,NA,eng,NA,25.214103950000002,55.15085102248102
1008054232,Science and scientists in the Netherlands Indies,Stechert {[u.a.],"New York, NY",NA,NA,ger,NA,25.214103950000002,55.15085102248102
1008054232,Science and scientists in the Netherlands Indies,Stechert {[u.a.],"New York, NY",NA,NA,fre,NA,25.214103950000002,55.15085102248102
1008062448,The @exhibition of stone age and pleistocene geology from the Cape to Britain,Inst. of Archaeology,London,Zeuner,Frederick Everard,eng,NA,51.5073219,-0.1276474
1008062537,Denudation chronology,Inst. of Archaeology,London,Kimball,Day,eng,NA,51.5073219,-0.1276474
1008599468,"Mining, commerce and finance in Nigeria",Faber and Faber,London,NA,NA,eng,NA,51.5073219,-0.1276474
1008684880,Storm in a teacup,Constable,London,Bridie,James,eng,NA,51.5073219,-0.1276474
1008684880,Storm in a teacup,Constable,Toronto,Bridie,James,eng,NA,43.6534817,-79.3839347
1008684880,Storm in a teacup,Macmillan of Canada,London,Bridie,James,eng,NA,51.5073219,-0.1276474
1008684880,Storm in a teacup,Macmillan of Canada,Toronto,Bridie,James,eng,NA,43.6534817,-79.3839347
1008760102,The American foreign aid program,"Columbia Univ., Acad. of Political Science","New York, NY",NA,NA,NA,NA,25.214103950000002,55.15085102248102
1009836544,Bringing up the Jewish child,United Synagogue Comm. on Jewish Education,"New York, NY",Lewin,Kurt,eng,NA,25.214103950000002,55.15085102248102
1010274554,Antimetabolites,New York Acad. of Sciences,"New York, NY",NA,NA,eng,NA,25.214103950000002,55.15085102248102
1010606638,Paul Klee,Museum of Modern Art,"New York, NY",NA,NA,eng,NA,25.214103950000002,55.15085102248102
101085951X,Shepherd's story,Transcontinental Music Company,New York City,Fromm,Herbert,eng,NA,40.7127281,-74.0060152
101085951X,Shepherd's story,Transcontinental Music Company,New York City,Fromm,Herbert,heb,NA,40.7127281,-74.0060152
101085951X,Shepherd's story,Transcontinental Music Company,New York City,Fromm,Herbert,yid,NA,40.7127281,-74.0060152
1010888943,German powder development from 1918 to 1942,"Navy Department, Bureau of Ordnance","Washington, DC",Gallwitz,Uto,eng,ger,38.8950368,-77.0365427
1011802481,The @enchiridion,Liberal Arts Press,"New York, NY",NA,NA,eng,grc,25.214103950000002,55.15085102248102
1013593642,Numéro spécial consacré a Victor Hugo a l'occasion du cinquantenaire de sa mort,Éd. Rieder,Paris,NA,NA,fre,NA,48.8588897,2.3200410217200766
101405902X,"Chazuta curare, its botanical components, and other plants of curare interest",Doin,Paris,Folkers,Karl August,eng,NA,48.8588897,2.3200410217200766
1023780771,Ujarzmienie piorunów,Książka,Warszawa,Larsen,Egon,pol,und,52.2337172,21.071432235636493
1024389308,Blick in die Zukunft,Siko,[Brüssel],NA,NA,ger,NA,50.8465573,4.351697
1024390152,Der @Wurm des Zweifels,Siko,[Brüssel],NA,NA,ger,NA,50.8465573,4.351697
1024390365,Erlöse uns von dem Übel,Siko,[Brüssel],NA,NA,ger,NA,50.8465573,4.351697
1024390985,Wege der Allmacht,Siko,[Brüssel],NA,NA,ger,NA,50.8465573,4.351697
1024391418,Gegen Husten und Heiserkeit,Siko,[Brüssel],NA,NA,ger,NA,50.8465573,4.351697
1025303784,Das @Wesen des Faschismus,[Siko],[Brüssel],NA,NA,ger,NA,50.8465573,4.351697
1025304101,Zur Rätefrage,[Siko],[Brüssel],NA,NA,ger,NA,50.8465573,4.351697
102610419X,From Machault to Malherbe,Allan @Wingate,London,NA,NA,eng,fre,51.5073219,-0.1276474
102610419X,From Machault to Malherbe,Allan @Wingate,London,NA,NA,fre,fre,51.5073219,-0.1276474
1028055129,Champignons de la Catalogne,Barcinonensi Botanico Inst.,Barcelona,Singer,Rolf,fre,NA,41.3828939,2.1774322
1028055129,Champignons de la Catalogne,Barcinonensi Botanico Inst.,Barcelona,Singer,Rolf,spa,NA,41.3828939,2.1774322
102823449X,The @metabolism of intestinal mucous membrane,[Biochemical Soc.],[London],Dickens,Frank,eng,NA,51.5073219,-0.1276474
1028427018,Germany,The @Banker,London,NA,NA,eng,NA,51.5073219,-0.1276474
1029176221,L' @apport des Juifs d'Allemagne à la civilisation allemande,Cahiers Juifs,Paris,NA,NA,fre,NA,48.8588897,2.3200410217200766
1029524815,İkinci Dünya Harbinde kadın casuslar,Nebioğlu Yayınevi,İstanbul,Singer,Kurt,tur,und,41.0091982,28.9662187
1029531579,Harp ekonomisi,Aydınlık Basımevi,İstanbul,Neumark,Fritz,tur,ger,41.0091982,28.9662187
103006914X,I. Moholy-Nagy,Telehor,Brno,NA,NA,ger,NA,49.1922443,16.6113382
103006914X,I. Moholy-Nagy,Telehor,Brno,NA,NA,eng,NA,49.1922443,16.6113382
103006914X,I. Moholy-Nagy,Telehor,Brno,NA,NA,fre,NA,49.1922443,16.6113382
103006914X,I. Moholy-Nagy,Telehor,Brno,NA,NA,slo,NA,49.1922443,16.6113382
103007884X,Conference of German Social Democrats in England,W. @Sander,London,NA,NA,eng,NA,51.5073219,-0.1276474
1030142211,Für den Wiederaufbau unserer Gewerkschaftsbewegung in der Heimat,[s.n.] @,[S.l.] @,NA,NA,ger,NA,35.575253849999996,-78.74237343499374
1030142343,Die @Gewerkschaften sind Kampforganisationen,[s.n.] @,[S.l.] @,NA,NA,ger,NA,35.575253849999996,-78.74237343499374
1030452458,Arrangement provisoire concernant le statut des refugiés provenant d'Allemagne,Conférence Intergouvernementale pour l'Adaption d'un Statut pour les Réfugiés Provenent d'Allemagne,Genève,NA,NA,fre,NA,46.2017559,6.1466014
1030452458,Arrangement provisoire concernant le statut des refugiés provenant d'Allemagne,Conférence Intergouvernementale pour l'Adaption d'un Statut pour les Réfugiés Provenent d'Allemagne,Genève,NA,NA,eng,NA,46.2017559,6.1466014
1030452687,Acte final,Conférence Intergouvernementale pour l'Adaption d'un Statut pour les Réfugiés Provenent d'Allemagne,Genève,NA,NA,fre,NA,46.2017559,6.1466014
1030452687,Acte final,Conférence Intergouvernementale pour l'Adaption d'un Statut pour les Réfugiés Provenent d'Allemagne,Genève,NA,NA,eng,NA,46.2017559,6.1466014
1035845385,Scientific progress in the field of rubber and synthetic elastomers,Interscience Publ.,"New York, NY",NA,NA,eng,NA,25.214103950000002,55.15085102248102
1036197336,Travel,Castle Press,London,NA,NA,eng,NA,51.5073219,-0.1276474
1038502268,Monopoly and competition in industry and labor,"Columbia Univ., Acad. of Political Science","New York, NY",NA,NA,eng,NA,25.214103950000002,55.15085102248102
1045583979,Birth of the waltz,Dance Index Ballet Caravan Inc.,"New York, NY",NA,NA,eng,NA,25.214103950000002,55.15085102248102
1064284205,Muscular contraction,New York Acad. of Sciences,"New York, NY",NA,NA,eng,NA,25.214103950000002,55.15085102248102
1064284523,Freedom and the expanding state,"Columbia Univ., Acad. of Political Science","New York, NY",NA,NA,eng,NA,25.214103950000002,55.15085102248102
1075461693,Domenico Theotocopuli - El Greco,Gazette des Beaux-Arts,Paris,NA,NA,fre,NA,48.8588897,2.3200410217200766
1076185002,Aangeboden aan Willem Martin op zijn zeventigsten verjaardag,Daamen,'s Gravenhage,NA,NA,dut,NA,52.0799838,4.3113461
1084033127,The @ramification of the middle meningeal artery in fossil hominids and its bearing upon phylogenetic problems,Geological Survey of China,Peiping (Peking),Weidenreich,Franz,eng,NA,39.906217,116.3912757
1084813122,Les @juifs,Sociéte Anonyme les Illustré Français,Paris,NA,NA,fre,NA,48.8588897,2.3200410217200766
1104187825,Auseinandersetzung des Volkssozialismus mit Marxismus und alter Arbeiterbewegung,[Die Deutschen Volkssozialisten],[London],Jaeger,Hans,ger,NA,51.5073219,-0.1276474
1104193388,Der @Geist des Moskauer Komitees,[Deutsche Volkssozialisten],[London],Brehm,Eugen M.,ger,NA,51.5073219,-0.1276474
1104194090,Zur Bildung des Freien Deutschen Comités in Moskau,[Deutsche Volkssozialisten],[London],Brehm,Eugen M.,ger,NA,51.5073219,-0.1276474
1104197189,Volkssozialismus als deutsche Lösung,[Die Deutschen Volkssozialisten],[London],Jaeger,Hans,ger,NA,51.5073219,-0.1276474
1104199327,Was wird nach Hitlers Sturz?,[Die Deutschen Volkssozialisten],[London],Jaeger,Hans,ger,NA,51.5073219,-0.1276474
1104199696,Die @föderalistische Lösung für Deutschland,[Die Deutschen Volkssozialisten],[London],Jaeger,Hans,ger,NA,51.5073219,-0.1276474
110428510X,Was geschieht nach dem Kriege?,Deutsche Volkssozialisten,[London],NA,NA,ger,NA,51.5073219,-0.1276474
1104286386,Zum Londoner Free German Committee erklären die Deutschen Volkssozialisten,[Deutsche Volkssozialisten],[London],NA,NA,ger,NA,51.5073219,-0.1276474
1104294532,Volkssozialismus als deutsches Zukunfts-Programm,Volkssozialisten,[London],NA,NA,ger,NA,51.5073219,-0.1276474
1104299208,Das @Wirtschaftsprogramm der Volkssozialisten,Volkssozialisten,[London],NA,NA,ger,NA,51.5073219,-0.1276474
1104301032,Unpopulaere Gedanken,Deutsche Volkssozialisten,[London],NA,NA,ger,NA,51.5073219,-0.1276474
1105508986,The @general affine field laws,"Hodges, Figgis & Co.",Dublin,Schrödinger,Erwin,eng,NA,53.3498006,-6.2602964
1105508986,The @general affine field laws,"Hodges, Figgis & Co.",London,Schrödinger,Erwin,eng,NA,51.5073219,-0.1276474
1105508986,The @general affine field laws,Williams & Norgate,Dublin,Schrödinger,Erwin,eng,NA,53.3498006,-6.2602964
1105508986,The @general affine field laws,Williams & Norgate,London,Schrödinger,Erwin,eng,NA,51.5073219,-0.1276474
1105572897,The @general unitary theory of the physical fields,"Hodges, Figgis & Co.",Dublin,Schrödinger,Erwin,eng,NA,53.3498006,-6.2602964
1105572897,The @general unitary theory of the physical fields,"Hodges, Figgis & Co.",London,Schrödinger,Erwin,eng,NA,51.5073219,-0.1276474
1105572897,The @general unitary theory of the physical fields,Williams & Norgate,Dublin,Schrödinger,Erwin,eng,NA,53.3498006,-6.2602964
1105572897,The @general unitary theory of the physical fields,Williams & Norgate,London,Schrödinger,Erwin,eng,NA,51.5073219,-0.1276474
1105583031,Non-linear optics,"Hodges, Figgis & Co.",Dublin,Schrödinger,Erwin,eng,NA,53.3498006,-6.2602964
1105583031,Non-linear optics,"Hodges, Figgis & Co.",London,Schrödinger,Erwin,eng,NA,51.5073219,-0.1276474
1105583031,Non-linear optics,Williams & Norgate,Dublin,Schrödinger,Erwin,eng,NA,53.3498006,-6.2602964
1105583031,Non-linear optics,Williams & Norgate,London,Schrödinger,Erwin,eng,NA,51.5073219,-0.1276474
1105700267,Exchange and spin,"Hodges, Figgis & Co.",Dublin,Schrödinger,Erwin,eng,NA,53.3498006,-6.2602964
1105700267,Exchange and spin,"Hodges, Figgis & Co.",London,Schrödinger,Erwin,eng,NA,51.5073219,-0.1276474
1105700267,Exchange and spin,Williams & Norgate,Dublin,Schrödinger,Erwin,eng,NA,53.3498006,-6.2602964
1105700267,Exchange and spin,Williams & Norgate,London,Schrödinger,Erwin,eng,NA,51.5073219,-0.1276474
1105772373,On the solutions of wave equations for non-vanishing rest-mass including a source-function,"Hodges, Figgis & Co.",Dublin,Schrödinger,Erwin,eng,NA,53.3498006,-6.2602964
1105772373,On the solutions of wave equations for non-vanishing rest-mass including a source-function,"Hodges, Figgis & Co.",London,Schrödinger,Erwin,eng,NA,51.5073219,-0.1276474
1105772373,On the solutions of wave equations for non-vanishing rest-mass including a source-function,Williams & Norgate,Dublin,Schrödinger,Erwin,eng,NA,53.3498006,-6.2602964
1105772373,On the solutions of wave equations for non-vanishing rest-mass including a source-function,Williams & Norgate,London,Schrödinger,Erwin,eng,NA,51.5073219,-0.1276474
1106117638,Further studies on solving eigenvalue problems by factorization,"Hodges, Figgis & Co.",Dublin,Schrödinger,Erwin,eng,NA,53.3498006,-6.2602964
1106117638,Further studies on solving eigenvalue problems by factorization,"Hodges, Figgis & Co.",London,Schrödinger,Erwin,eng,NA,51.5073219,-0.1276474
1106117638,Further studies on solving eigenvalue problems by factorization,Williams & Norgate,Dublin,Schrödinger,Erwin,eng,NA,53.3498006,-6.2602964
1106117638,Further studies on solving eigenvalue problems by factorization,Williams & Norgate,London,Schrödinger,Erwin,eng,NA,51.5073219,-0.1276474
1106119509,Boolean algebra and probability theory,"Hodges, Figgis & Co.",Dublin,Broderick,T. S.,eng,NA,53.3498006,-6.2602964
1106119509,Boolean algebra and probability theory,"Hodges, Figgis & Co.",London,Broderick,T. S.,eng,NA,51.5073219,-0.1276474
1106119509,Boolean algebra and probability theory,Williams & Norgate,Dublin,Broderick,T. S.,eng,NA,53.3498006,-6.2602964
1106119509,Boolean algebra and probability theory,Williams & Norgate,London,Broderick,T. S.,eng,NA,51.5073219,-0.1276474
1106148398,Maxwell's and Dirac's equations in the expanding universe,"Hodges, Figgis & Co.",Dublin,Schrödinger,Erwin,eng,NA,53.3498006,-6.2602964
1106148398,Maxwell's and Dirac's equations in the expanding universe,"Hodges, Figgis & Co.",London,Schrödinger,Erwin,eng,NA,51.5073219,-0.1276474
1106148398,Maxwell's and Dirac's equations in the expanding universe,Williams & Norgate,Dublin,Schrödinger,Erwin,eng,NA,53.3498006,-6.2602964
1106148398,Maxwell's and Dirac's equations in the expanding universe,Williams & Norgate,London,Schrödinger,Erwin,eng,NA,51.5073219,-0.1276474
1106269616,Studies on the text of Muirchú,"Hodges, Figgis & Co.",Dublin,Bieler,Ludwig,eng,NA,53.3498006,-6.2602964
1112274324,Toward family stability,The American Academy of Political and Social Science,Philadelphia,NA,NA,eng,NA,39.9527237,-75.1635262
1112275088,Reappraising our immigration policy,The American Academy of Political and Social Science,Philadelphia,NA,NA,eng,NA,39.9527237,-75.1635262
1112276068,Rare and unusual books on many subjects,A. Rosenthal Ltd.,Oxford,NA,NA,eng,NA,51.7520131,-1.2578499
1112289542,High polymers,New York Academy of Sciences,New York,NA,NA,eng,NA,40.7127281,-74.0060152
1112297723,Lymph,New York Academy of Sciences,New York,NA,NA,eng,NA,40.7127281,-74.0060152
1122746776,Hayatım ve psikanaliz,İnsel Kitabevi,İstanbul,Freud,Sigmund,tur,ger,41.0091982,28.9662187
1125916826,Hemorrhage,New York Academy of Sciences,New York,NA,NA,eng,NA,40.7127281,-74.0060152
1127058886,"Fungi, friends and foes",Paul Elek,London,Parker-Rhodes,A. F.,eng,NA,51.5073219,-0.1276474
1127172042,La @grammatica tedesca non lo dice,"Edizioni ""Le Lingue Estere""",Milano,Reichenberger,Arnold,ita,NA,45.4641943,9.1896346
1127172042,La @grammatica tedesca non lo dice,"Edizioni ""Le Lingue Estere""",Milano,Reichenberger,Arnold,ger,NA,45.4641943,9.1896346
1127255754,Rome and South Italy,Paul Elek,London,Wall,Bernard,eng,NA,51.5073219,-0.1276474
1127255754,Rome and South Italy,Paul Elek,New York,Wall,Bernard,eng,NA,40.7127281,-74.0060152
1132365694,The @induction of lipemia and calcemia in the cock by means of oestrogenic hormone,"G. Doin & Cie., éditeur",Paris,Zondek,Bernhard,eng,NA,48.8588897,2.3200410217200766
113627927X,"Psychotherapy for children, group psychotherapy",Institute for Psychoanalysis,Chicago,NA,NA,eng,NA,41.8755616,-87.6244212
1136397507,Derrière le miroir - Arp,Maeght Editeur,Paris,Arp,Hans,fre,NA,48.8588897,2.3200410217200766
1136617779,Suarez en el cuarto centenario de su nacimiento (1548-1948),Rivadeneyra (S.A.),Madrid,NA,NA,spa,NA,40.4167047,-3.7035825
113738798X,The @growing child,The Quarrie Corporation,Chicago,NA,NA,eng,NA,41.8755616,-87.6244212
1142816648,Das @grosse Werk der Winterhilfe,Siko,[Brüssel],NA,NA,ger,NA,50.8465573,4.351697
1143073134,Einheitskleidung,Siko,[Brüssel],NA,NA,ger,NA,50.8465573,4.351697
1143269446,Alkohol und Rassenfrage,Siko,[Brüssel],NA,NA,ger,NA,50.8465573,4.351697
1143606949,Der @Erfolg des Führers,Siko,[Brüssel],NA,NA,ger,NA,50.8465573,4.351697
1143607295,Die @Wirtschaft - das Schicksal,Siko,[Brüssel],NA,NA,ger,NA,50.8465573,4.351697
1143868595,Kritische Wochen,Siko,[Brüssel],NA,NA,ger,NA,50.8465573,4.351697
1144003571,Es muss gelingen,Siko,[Brüssel],NA,NA,ger,NA,50.8465573,4.351697
114400439X,Gegen die Miesmacher,Siko,[Brüssel],NA,NA,ger,NA,50.8465573,4.351697
1144315549,Das @grosse Durcheinander,Siko,[Brüssel],NA,NA,ger,NA,50.8465573,4.351697
1144372321,Das @Bekenntnis des Führers,Siko,[Brüssel],NA,NA,ger,NA,50.8465573,4.351697
1144663636,Drei Jahre Drittes Reich,Siko,[Brüssel],NA,NA,ger,NA,50.8465573,4.351697
1144664608,Macht und Grenzen der Propaganda,Siko,[Brüssel],NA,NA,ger,NA,50.8465573,4.351697
1144922909,Nur ein Weg führt zum Ziel,Siko,[Brüssel],NA,NA,ger,NA,50.8465573,4.351697
114499084X,Der @Krieg als letzter Ausweg,Siko,[Brüssel],NA,NA,ger,NA,50.8465573,4.351697
1144992540,Freut euch des Lebens!,Siko,[Brüssel],NA,NA,ger,NA,50.8465573,4.351697
1145302874,Aber was denn sonst?,Siko,[Brüssel],NA,NA,ger,NA,50.8465573,4.351697
1145304036,Fahrt ohne Ziel,Siko,[Brüssel],NA,NA,ger,NA,50.8465573,4.351697
1145347290,Begleitmusik zur Olympiade,Siko,[Brüssel],NA,NA,ger,NA,50.8465573,4.351697
1145358209,Zukunftswechsel,Siko,[Brüssel],NA,NA,ger,NA,50.8465573,4.351697
1147320306,Dem @Winter entgegen,Siko,[Brüssel],NA,NA,ger,NA,50.8465573,4.351697
1147329532,Kämpfen und nicht verzweifeln,Siko,[Brüssel],NA,NA,ger,NA,50.8465573,4.351697
1147600236,Schein und Wirklichkeit,Siko,[Brüssel],NA,NA,ger,NA,50.8465573,4.351697
114761329X,Ratlose Führung,Siko,[Brüssel],NA,NA,ger,NA,50.8465573,4.351697
1147656428,Diktatur in Verlegenheit,Siko,[Brüssel],NA,NA,ger,NA,50.8465573,4.351697
114765784X,Vor dem Entweder-oder,Siko,[Brüssel],NA,NA,ger,NA,50.8465573,4.351697
1148596895,Rundblick,Siko,[Brüssel],NA,NA,ger,NA,50.8465573,4.351697
114998032X,An die deutschen Gegner Hitlers!,Die Deutschen Volkssozialisten,[London],NA,NA,ger,NA,51.5073219,-0.1276474
1150183950,Vermischtes,[Volkssozialisten],[London],NA,NA,ger,NA,51.5073219,-0.1276474
1150248769,Thesen uber die deutschen Generale,[Die Deutschen Volkssozialisten],[London],NA,NA,ger,NA,51.5073219,-0.1276474
1150280875,Erklärung zur deutschen Frage,[Die Deutschen Volkssozialisten],[London],Jaeger,Hans,ger,NA,51.5073219,-0.1276474
1150280875,Erklärung zur deutschen Frage,[Die Deutschen Volkssozialisten],[London],Jaeger,Hans,eng,NA,51.5073219,-0.1276474
1150656484,"Absage an den ""freiheitlichen Sozialismus"" Kurz Hillers",[Deutsche Volkssozialisten],[London],Bader,Rolf,ger,NA,51.5073219,-0.1276474
1150901322,Unser Gegensatz zu Otto Strasser,[Die Deutschen Volkssozialisten],[London],NA,NA,ger,NA,51.5073219,-0.1276474
115100099X,Generale und Partei,[Die Deutschen Volkssozialisten],[London],NA,NA,ger,NA,51.5073219,-0.1276474
115123401X,A @plan for a new Germany,[German People's Socialist Movement],[London],Jaeger,Hans,eng,NA,51.5073219,-0.1276474
1151474460,Zusammenfassung,[Volkssozialisten],[London],NA,NA,ger,NA,51.5073219,-0.1276474
1156040108,Symposium on minor surgery,W.B. Saunders,Philadelphia,NA,NA,eng,NA,39.9527237,-75.1635262
1156040108,Symposium on minor surgery,W.B. Saunders,London,NA,NA,eng,NA,51.5073219,-0.1276474
1173942076,The @Pliocene–Pleistocene boundary,"International Geological Congress, Section H",London,NA,NA,eng,NA,51.5073219,-0.1276474
1173942076,The @Pliocene–Pleistocene boundary,"International Geological Congress, Section H",London,NA,NA,mul,NA,51.5073219,-0.1276474
117465502X,Contribuição para a geologia do petroleo no sudoeste de Mato Grosso,"Republica dos Estados Unidos do Brasil, Ministério da Agricultura, Departamento Nacional da Produção Mineral, Divisão de Fomento da Producão Mineral",Rio de Janeiro,Paiva,Glycon,por,NA,-22.9110137,-43.2093727
1174765690,Estudos sobre a glaciação permo-carbonifera do Sul do Brasil,"Républica dos Estados Unidos do Brasil, Ministério da Agricultura, Departamento Nacional da Producção Mineral, Serviço de Fomento da Producção Mineral",Rio de Janeiro,Leinz,Viktor,por,NA,-22.9110137,-43.2093727
1176680579,An @annotated bibliography of fishways,State University of Iowa,"Iowa City, Iowa",Neményi,Paul,eng,NA,41.6612561,-91.5299106
1177827727,Theory of the vibrations of the sodium chloride lattice,Cambridge University Press,London,Kellermann,E. W.,eng,NA,51.5073219,-0.1276474
1185206787,Bauhaus exhibition,The Museum of Modern Art,New York,NA,NA,eng,NA,40.7127281,-74.0060152
121653683X,"Astasia, Distigma, Menoidium and Rhabdomonas",[University Press],[Cambridge],Pringsheim,Ernst G.,eng,NA,52.197584649999996,0.13915373736874398
1218484837,"A @symposium of lectures delivered in connection with a special exhibition held in the Science Museum from March to June, 1936",His Majesty's Stationery Office,London,NA,NA,eng,NA,51.5073219,-0.1276474
1218565616,Hans Hofmann,Éditions pierre à feu,Paris,NA,NA,fre,NA,48.8588897,2.3200410217200766
1221822055,Classical treatment - charged particle with electric and magnetic moment,Indian Institute of Science,[Bangalore],Born,Max,eng,NA,12.9767936,77.590082
123533385X,Civilian morale,Reynal & Hitchcock,New York,NA,NA,eng,NA,40.7127281,-74.0060152
1235334554,Moscow's European satellites,The American Academy of Political and Social Science,Philadelphia,NA,NA,eng,NA,39.9527237,-75.1635262
1235425061,Induced mitoses in differentiated tissues of Rhoeo roots,[American Genetic Association],"[Washington, D.C.]",Huskins,C. Leonard,eng,NA,38.8950368,-77.0365427
1251906249,"A @sequence of educational influences, traced through unpublished writings of Pestalozzi, Fröbel, Diesterweg, Horace Mann, and Henry Barnard",Harvard University Press,Cambridge,Ulich,Robert,eng,NA,52.197584649999996,0.13915373736874398
1253039836,Vrijheid en gebondenheid in de wetenschap,Bij J.B. Wolters Unitgeversmaatschappij N.V.,Groningen,NA,NA,dut,NA,53.2190652,6.5680077
1253039836,Vrijheid en gebondenheid in de wetenschap,Bij J.B. Wolters Unitgeversmaatschappij N.V.,Batavia,NA,NA,dut,NA,-6.1753942,106.827183
1266106502,"Mavo, toldot minui ha-ṿaʻadah, yeshivut ha-ṿaʻadah be-Ṿashingṭon, London, Ḳahir ṿi-Yerushalayim, siyurim, be-Eropah uve-E.Y.",Hotsa' at Ts. Lainman,Tel-Aviv,NA,NA,heb,NA,32.0852997,34.7818064
